Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,"GALA/USDT:USDT,LRC/USDT:USDT,MASK/USDT:USDT,SAND/USDT:USDT","AAVE/USDT:USDT,ATOM/USDT:USDT,DOGE/USDT:USDT,UNI/USDT:USDT",-0.16279651457521055
2021-12-31,"DOGE/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT","BCH/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT",-0.05921958017812898
2022-01-31,"ATOM/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,UNFI/USDT:USDT","BCH/USDT:USDT,BTC/USDT:USDT,EOS/USDT:USDT,TRX/USDT:USDT",-0.11967562714775942
2022-02-28,"1000SHIB/USDT:USDT,GALA/USDT:USDT,THETA/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,DOGE/USDT:USDT,DOT/USDT:USDT,TRX/USDT:USDT",-0.0394825382750956
2022-03-31,"AAVE/USDT:USDT,LRC/USDT:USDT,RUNE/USDT:USDT,ZIL/USDT:USDT","BNB/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT",-0.2826417054031046
2022-04-30,"1000SHIB/USDT:USDT,DOGE/USDT:USDT,LINA/USDT:USDT,STORJ/USDT:USDT","ADA/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LINK/USDT:USDT",-0.1293913332172399
2022-05-31,"MANA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","BCH/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,FIL/USDT:USDT",0.3625770118747199
2022-06-30,"1000SHIB/USDT:USDT,STORJ/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT","BNB/USDT:USDT,BTC/USDT:USDT,EOS/USDT:USDT,LRC/USDT:USDT",0.30228619470895157
2022-07-31,"ETC/USDT:USDT,FIL/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT","ALGO/USDT:USDT,DOGE/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT",-0.09574664838732255
