Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,"1000SHIB/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,SAND/USDT:USDT,STORJ/USDT:USDT","AAVE/USDT:USDT,ADA/USDT:USDT,ATOM/USDT:USDT,AXS/USDT:USDT,DOGE/USDT:USDT,LINK/USDT:USDT,UNI/USDT:USDT,XRP/USDT:USDT",-0.11160887782328222
2021-12-31,"AAVE/USDT:USDT,DOGE/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,SUSHI/USDT:USDT","BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT",-0.12724303583039753
2022-01-31,"1000SHIB/USDT:USDT,ADA/USDT:USDT,ATOM/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,UNFI/USDT:USDT","BCH/USDT:USDT,BTC/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT",-0.12986176752675943
2022-02-28,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,AXS/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,THETA/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,BNB/USDT:USDT,DOGE/USDT:USDT,DOT/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT",-0.03909802393418722
2022-03-31,"AAVE/USDT:USDT,AXS/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,ZIL/USDT:USDT","BNB/USDT:USDT,DOGE/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT",-0.19586894679103584
2022-04-30,"1000SHIB/USDT:USDT,AAVE/USDT:USDT,DOGE/USDT:USDT,FIL/USDT:USDT,LINA/USDT:USDT,NEAR/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LINK/USDT:USDT,MANA/USDT:USDT,UNI/USDT:USDT",-0.04743014790163347
2022-05-31,"AAVE/USDT:USDT,AXS/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,RUNE/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,LTC/USDT:USDT,XRP/USDT:USDT",0.11069435412687897
2022-06-30,"1000SHIB/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,RUNE/USDT:USDT,STORJ/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","ALGO/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT,XRP/USDT:USDT",0.2649498869280576
2022-07-31,"BCH/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,RUNE/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT","ALGO/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,THETA/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT,ZIL/USDT:USDT",-0.11246837504877398
