Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,,,0
2022-09-30,,,0
2022-10-31,"BNB/USDT:USDT,TRX/USDT:USDT,CHZ/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,DYDX/USDT:USDT",-0.08583313235600115
2022-11-30,"CHZ/USDT:USDT,UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,ATOM/USDT:USDT,DOGE/USDT:USDT","GALA/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,AXS/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT",0.06348149216670226
2022-12-31,"CHZ/USDT:USDT,UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,ETC/USDT:USDT,DOGE/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT",-0.9831581512603458
2023-01-31,"CHZ/USDT:USDT,UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,FTM/USDT:USDT",0.15772043429165974
2023-02-28,"UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,MASK/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,AVAX/USDT:USDT",0.11490632981998454
2023-03-31,"UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,MASK/USDT:USDT,LTC/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,AVAX/USDT:USDT",-0.00045908035557994803
2023-04-30,"UNFI/USDT:USDT,BNB/USDT:USDT,TRX/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT,LTC/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,AVAX/USDT:USDT",0.10413023373829858
2023-05-31,"DYDX/USDT:USDT,UNFI/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT,LTC/USDT:USDT","SOL/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT",0.08005221759973473
2023-06-30,"MASK/USDT:USDT,LINA/USDT:USDT,ETH/USDT:USDT,DYDX/USDT:USDT,LTC/USDT:USDT","GALA/USDT:USDT,ALGO/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT,STORJ/USDT:USDT",-0.010333283025217632
2023-07-31,"MASK/USDT:USDT,LINA/USDT:USDT,ETH/USDT:USDT,BCH/USDT:USDT,LTC/USDT:USDT","ALGO/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT",-0.01030128155062357
2023-08-31,"MASK/USDT:USDT,LINA/USDT:USDT,XRP/USDT:USDT,BCH/USDT:USDT,LTC/USDT:USDT","CHZ/USDT:USDT,ALGO/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT",0.0339723801056145
2023-09-30,"MASK/USDT:USDT,LINA/USDT:USDT,DYDX/USDT:USDT,BCH/USDT:USDT","CHZ/USDT:USDT,ALGO/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,AXS/USDT:USDT",-0.059842770835453626
