Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,"CRV/USDT:USDT,GALA/USDT:USDT,LINK/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,SAND/USDT:USDT,SUSHI/USDT:USDT","AAVE/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT,ZIL/USDT:USDT",0.006230296570550645
2022-09-30,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,GALA/USDT:USDT,LINK/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,SAND/USDT:USDT,SUSHI/USDT:USDT","ALGO/USDT:USDT,AXS/USDT:USDT,BTC/USDT:USDT,CRV/USDT:USDT,NEAR/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT,ZIL/USDT:USDT",0.11175344504677986
2022-10-31,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,ZIL/USDT:USDT","ADA/USDT:USDT,AVAX/USDT:USDT,BNB/USDT:USDT,LINK/USDT:USDT,SOL/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT",-0.015152132430610449
2022-11-30,"ETC/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","CRV/USDT:USDT,DYDX/USDT:USDT,ETH/USDT:USDT,SAND/USDT:USDT,STORJ/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT",-0.003980098113201852
2022-12-31,"ALGO/USDT:USDT,DOGE/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","BNB/USDT:USDT,CHZ/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,THETA/USDT:USDT,TRB/USDT:USDT,UNI/USDT:USDT",0.3336453302289145
2023-01-31,"FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,RUNE/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","ADA/USDT:USDT,ATOM/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRB/USDT:USDT",0.03019859802337989
2023-02-28,"AVAX/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,DOGE/USDT:USDT,LINA/USDT:USDT,LINK/USDT:USDT,SUSHI/USDT:USDT,UNI/USDT:USDT,XRP/USDT:USDT",-0.050940666216735736
2023-03-31,"AAVE/USDT:USDT,AVAX/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,RUNE/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,DOGE/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,SUSHI/USDT:USDT",0.02996846825380947
