Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,"CRV/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LINK/USDT:USDT,LRC/USDT:USDT,LTC/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,SAND/USDT:USDT,SUSHI/USDT:USDT,XRP/USDT:USDT","AAVE/USDT:USDT,ADA/USDT:USDT,AXS/USDT:USDT,DOGE/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT,STORJ/USDT:USDT,ZIL/USDT:USDT",0.05889681867892999
2022-09-30,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,CHZ/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINK/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,SAND/USDT:USDT,STORJ/USDT:USDT,SUSHI/USDT:USDT,UNFI/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,BTC/USDT:USDT,CRV/USDT:USDT,MASK/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT,ZIL/USDT:USDT",-0.004271065030419241
2022-10-31,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,DOGE/USDT:USDT,DYDX/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,ZIL/USDT:USDT","ADA/USDT:USDT,AVAX/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,LINA/USDT:USDT,LINK/USDT:USDT,MASK/USDT:USDT,SOL/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT",-0.07980158744032499
2022-11-30,"1000SHIB/USDT:USDT,ALGO/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,ETH/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT,STORJ/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT",-0.039654521181023084
2022-12-31,"AAVE/USDT:USDT,ADA/USDT:USDT,ALGO/USDT:USDT,ATOM/USDT:USDT,DOGE/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,RUNE/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","BNB/USDT:USDT,CHZ/USDT:USDT,CRV/USDT:USDT,DOT/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,LINK/USDT:USDT,THETA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT",0.20933603946136586
