Date,Longs,Shorts,Return
2021-10-31,"AAVE/USDT:USDT,ATOM/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,DYDX/USDT:USDT,ETH/USDT:USDT,SUSHI/USDT:USDT","1000SHIB/USDT:USDT,ADA/USDT:USDT,BCH/USDT:USDT,LINA/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,XRP/USDT:USDT",-0.07353770308071908
2021-11-30,"AXS/USDT:USDT,DYDX/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,SOL/USDT:USDT,XRP/USDT:USDT","AVAX/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,FTM/USDT:USDT,THETA/USDT:USDT,TRX/USDT:USDT",-0.09116986416210815
2021-12-31,"ATOM/USDT:USDT,AVAX/USDT:USDT,BCH/USDT:USDT,CRV/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT,MASK/USDT:USDT,SUSHI/USDT:USDT","1000SHIB/USDT:USDT,BNB/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,LTC/USDT:USDT,SOL/USDT:USDT,STORJ/USDT:USDT,XRP/USDT:USDT",-0.06469226422086743
2022-01-31,"ALGO/USDT:USDT,AXS/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,LINK/USDT:USDT,LRC/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT","ATOM/USDT:USDT,AVAX/USDT:USDT,CRV/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT,XRP/USDT:USDT",-0.07166780264737876
2022-02-28,"ATOM/USDT:USDT,DOT/USDT:USDT,FIL/USDT:USDT,THETA/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT","ADA/USDT:USDT,BCH/USDT:USDT,CRV/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,MANA/USDT:USDT,STORJ/USDT:USDT",-0.03437933450106312
2022-03-31,"ALGO/USDT:USDT,AVAX/USDT:USDT,BCH/USDT:USDT,FTM/USDT:USDT,SOL/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,MANA/USDT:USDT,SUSHI/USDT:USDT,UNI/USDT:USDT",-0.11068669519596713
2022-04-30,"BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,AVAX/USDT:USDT,CHZ/USDT:USDT,CRV/USDT:USDT,DOT/USDT:USDT,SOL/USDT:USDT,STORJ/USDT:USDT,UNFI/USDT:USDT",0.15710220510408301
2022-05-31,"BTC/USDT:USDT,CHZ/USDT:USDT,LINA/USDT:USDT,MANA/USDT:USDT,SAND/USDT:USDT,THETA/USDT:USDT,UNI/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,CRV/USDT:USDT,DOT/USDT:USDT,EOS/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,LTC/USDT:USDT,ZIL/USDT:USDT",0.1240390670566518
2022-06-30,"BNB/USDT:USDT,DOT/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","ADA/USDT:USDT,BCH/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,LINA/USDT:USDT,NEAR/USDT:USDT,UNI/USDT:USDT,ZIL/USDT:USDT",-0.32663161274382
2022-07-31,"AAVE/USDT:USDT,DOT/USDT:USDT,EOS/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,MASK/USDT:USDT,STORJ/USDT:USDT,ZIL/USDT:USDT","1000SHIB/USDT:USDT,ADA/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,FTM/USDT:USDT,LTC/USDT:USDT,RUNE/USDT:USDT",-0.040446397505554135
2022-08-31,"DOGE/USDT:USDT,DYDX/USDT:USDT,FTM/USDT:USDT,LINA/USDT:USDT,MANA/USDT:USDT,SOL/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT","AAVE/USDT:USDT,BCH/USDT:USDT,DOT/USDT:USDT,ETC/USDT:USDT,MASK/USDT:USDT,THETA/USDT:USDT,XRP/USDT:USDT,ZIL/USDT:USDT",-0.04737558428334837
2022-09-30,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,BNB/USDT:USDT,DOGE/USDT:USDT,DYDX/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT","ADA/USDT:USDT,AVAX/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,MASK/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT",0.07189128219597499
2022-10-31,"AAVE/USDT:USDT,ADA/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT,TRB/USDT:USDT,ZIL/USDT:USDT","FIL/USDT:USDT,FTM/USDT:USDT,LINA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT",0.08379355835149893
2022-11-30,"BNB/USDT:USDT,CHZ/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,LINA/USDT:USDT,MASK/USDT:USDT,TRB/USDT:USDT","BTC/USDT:USDT,DOGE/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,MANA/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,STORJ/USDT:USDT",-0.08125709557847674
2022-12-31,"ADA/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,LRC/USDT:USDT,RUNE/USDT:USDT,STORJ/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","1000SHIB/USDT:USDT,AVAX/USDT:USDT,BCH/USDT:USDT,ETC/USDT:USDT,FTM/USDT:USDT,LINA/USDT:USDT,SOL/USDT:USDT,TRX/USDT:USDT",-0.20889669821589174
2023-01-31,"AVAX/USDT:USDT,AXS/USDT:USDT,LINK/USDT:USDT,MANA/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT","1000SHIB/USDT:USDT,ADA/USDT:USDT,ATOM/USDT:USDT,CRV/USDT:USDT,FIL/USDT:USDT,LTC/USDT:USDT,TRB/USDT:USDT,XRP/USDT:USDT",-0.07327450609555616
