Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,,,0
2022-09-30,"BNB/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","FTM/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT",-0.09296125653573245
2022-10-31,"BNB/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT","FTM/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT",0.16689162026645715
2022-11-30,"BNB/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,SOL/USDT:USDT",0.12729594429948277
2022-12-31,"BNB/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","FTM/USDT:USDT,GALA/USDT:USDT,SOL/USDT:USDT,SUSHI/USDT:USDT",-1.1897726783627343
2023-01-31,"BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT","FTM/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT",0.1440494367821023
2023-02-28,"BNB/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT,UNFI/USDT:USDT","FTM/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,SOL/USDT:USDT",-0.05260574888609043
2023-03-31,"BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT","AXS/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT",0.023453280520746633
2023-04-30,"BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT","GALA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",0.1087090412451342
2023-05-31,"ATOM/USDT:USDT,BNB/USDT:USDT,LINA/USDT:USDT,LTC/USDT:USDT","AXS/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT",-0.006991787001063898
2023-06-30,"AAVE/USDT:USDT,BCH/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT","GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT",-0.12828233445181356
2023-07-31,"AAVE/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT","GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT,TRB/USDT:USDT",-0.1113423072407112
2023-08-31,"BTC/USDT:USDT,DOT/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT","CHZ/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT",0.08916049664060244
2023-09-30,"AAVE/USDT:USDT,BTC/USDT:USDT,ETH/USDT:USDT,TRX/USDT:USDT","CHZ/USDT:USDT,GALA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT",-0.18012417448015972
2023-10-31,"AAVE/USDT:USDT,BTC/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT","ALGO/USDT:USDT,CHZ/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT",-0.19057826051450194
2023-11-30,"AAVE/USDT:USDT,BTC/USDT:USDT,LINK/USDT:USDT,SOL/USDT:USDT","CHZ/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,TRB/USDT:USDT",-0.22697309020431855
2023-12-31,"AAVE/USDT:USDT,ADA/USDT:USDT,DOT/USDT:USDT,SOL/USDT:USDT","GALA/USDT:USDT,LINA/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT",0.08979617753554262
