Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,,,0
2021-12-31,,,0
2022-01-31,,,0
2022-02-28,,,0
2022-03-31,,,0
2022-04-30,,,0
2022-05-31,,,0
2022-06-30,,,0
2022-07-31,,,0
2022-08-31,,,0
2022-09-30,"BNB/USDT:USDT,BTC/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","1000SHIB/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MASK/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT",-0.1916592345193755
2022-10-31,"BNB/USDT:USDT,BTC/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,DYDX/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MASK/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT",-0.046785533108147453
2022-11-30,"BNB/USDT:USDT,BTC/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",0.13350077213615064
2022-12-31,"BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT","AXS/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MASK/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT,SUSHI/USDT:USDT,ZIL/USDT:USDT",-0.8495027735158098
2023-01-31,"AAVE/USDT:USDT,ADA/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,DYDX/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",0.13277890292843725
2023-02-28,"AAVE/USDT:USDT,ADA/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LINA/USDT:USDT,LTC/USDT:USDT,UNFI/USDT:USDT","AVAX/USDT:USDT,AXS/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",0.06716062847552666
2023-03-31,"ADA/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LINA/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT","AXS/USDT:USDT,DYDX/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT,ZIL/USDT:USDT",0.03278353965135543
2023-04-30,"ADA/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT","AXS/USDT:USDT,FIL/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SOL/USDT:USDT",0.06757644079735894
